data;count;death
2020-01-20;1;0
2020-01-24;2;0
2020-01-26;3;0
2020-01-27;4;0
2020-01-30;6;0
2020-01-31;11;0
2020-02-01;12;0
2020-02-02;15;0
2020-02-04;16;0
2020-02-05;19;0
2020-02-06;23;0
2020-02-07;24;0
2020-02-09;27;0
2020-02-11;28;0
2020-02-16;29;0
2020-02-17;30;0
2020-02-18;31;0
2020-02-19;51;0
2020-02-20;104;1
2020-02-21;204;2
2020-02-22;433;2
2020-02-23;602;4
2020-02-24;833;7
2020-02-25;977;10
2020-02-26;1261;12
2020-02-27;1766;13
2020-02-28;2337;13
2020-02-29;3150;17
2020-03-01;4212;22
2020-03-02;4812;28
2020-03-03;5328;32
2020-03-04;5766;35
2020-03-05;6284;42
2020-03-06;6767;44
2020-03-07;7134;50
2020-03-08;7382;51
2020-03-09;7513;54
2020-03-10;7755;60
2020-03-11;7869;66
2020-03-12;7979;71
2020-03-13;8086;72
2020-03-14;8162;75
2020-03-15;8236;75
2020-03-16;8320;81
2020-03-17;8413;84
